REFERENCIA,ANCHO,GALGA,TIPO,MEZCLA,TRATAMIENTO,ABREFACIL,FUELLE
2000765,600,45,BOB TUBO,MO-100001,NO,NO,0
2000767,600,50,BOB TUBO,MO-100002,NO,NO,0
2000769,600,50,BOB TUBO,MO-100002,NO,NO,0
2000770,600,50,BOB TUBO,MO-100002,NO,NO,0
2000771,600,50,BOB TUBO,MO-100002,NO,NO,0
2000772,600,50,BOB TUBO,MO-100002,NO,NO,0
2000773,600,50,BOB TUBO,MO-100002,NO,NO,0
2000775,600,55,BOB TUBO,MO-100002,NO,NO,0
2000777,600,55,BOB TUBO,MO-100002,NO,NO,0
2000778,600,57,BOB TUBO,MO-100002,NO,NO,0
2000779,600,58,BOB TUBO,MO-100002,NO,NO,0
