MES,REFERENCIA,CANTIDAD
2026-05-01,2017925,51816
2026-05-01,2017926,51840
2026-05-01,2017946,16926
2026-05-01,2017947,8463
2026-05-01,2017958,39372
2026-05-01,2017959,39450
2026-05-01,2018058,8772
2026-05-01,2018059,8850
2026-05-01,2018060,8772
2026-05-01,2018061,8850
2026-05-01,2018095,26520
2026-05-01,2018138,8772
2026-05-01,2018139,8850
2026-05-01,2018154,1886
2026-05-01,2018155,16540
2026-05-01,2018156,6474
2026-05-01,2018165,5339
2026-05-01,2018177,113842
2026-05-01,2018182,11016
2026-05-01,2018183,10950
2026-05-01,2018217,7108
2026-05-01,2018228,78744
2026-05-01,2018229,78840
2026-05-01,2018254,155449
2026-05-01,2018263,13286
2026-05-01,2018373,8772
2026-05-01,2018374,8820
2026-05-01,2018379,36960
2026-05-01,2018438,48531
2026-05-01,2018457,8772
2026-05-01,2018458,8700
2026-05-01,2018485,165746
2026-05-01,2018573,9792
2026-05-01,2018574,9720
2026-05-01,2018608,8772
2026-05-01,2018609,8700
2026-05-01,2018668,1399
2026-05-01,2018671,1300
2026-05-01,2018695,7104
2026-05-01,2018696,6960
2026-05-01,2018706,12780
2026-05-01,2018707,12720
2026-05-01,2018716,8460
2026-05-01,2018717,8520
2026-05-01,2018733,399
2026-05-01,2018782,72782
2026-05-01,2018783,36391
2026-05-01,2018806,7104
2026-05-01,2018807,3480
2026-05-01,2018827,9384
2026-05-01,2018828,9480
2026-05-01,2018829,9480
2026-05-01,2018844,8448
2026-05-01,2018845,8400
2026-05-01,2018847,10404
2026-05-01,2018848,10350
2026-05-01,2018891,551
2026-05-01,2018932,8772
2026-05-01,2018933,8700
2026-05-01,2018964,19380
2026-05-01,2018965,19440
2026-05-01,2019055,328032
2026-05-01,2019056,328200
2026-05-01,2019086,84630
2026-05-01,2019087,42315
2026-05-01,2019104,17340
2026-05-01,2019105,17400
2026-05-01,2019131,252000
2026-05-01,2019132,126000
2026-05-01,2019138,18360
2026-05-01,2019139,18360
2026-05-01,2019200,131172
2026-05-01,2019201,131250
2026-05-01,2019202,48552
2026-05-01,2019203,48420
2026-05-01,2019206,156264
2026-05-01,2019207,156360
2026-05-01,2019225,4601
2026-05-01,2019226,21624
2026-05-01,2019227,21600
2026-05-01,2019230,21624
2026-05-01,2019231,21600
2026-05-01,2019241,9384
2026-05-01,2019242,9480
2026-05-01,2019243,9480
2026-05-01,2019248,17340
2026-05-01,2019249,17400
2026-05-01,2019250,13056
2026-05-01,2019251,13200
2026-05-01,2019293,66816
2026-05-01,2019294,66840
2026-05-01,2019297,8448
2026-05-01,2019298,8400
2026-05-01,2019307,8448
2026-05-01,2019308,8400
2026-05-01,2019332,23664
2026-05-01,2019333,23640
2026-05-01,2019334,23640
2026-05-01,2019359,62832
2026-05-01,2019360,63120
2026-05-01,2019361,63120
2026-05-01,2019362,31620
2026-05-01,2019363,31500
2026-05-01,2019369,20081
2026-05-01,2019370,157488
